iter	Passed	Remaining
0	1	157
1	2	138
2	4	129
3	5	125
4	6	122
5	7	122
6	9	119
7	10	117
8	11	115
9	12	113
10	13	111
11	15	110
12	16	108
13	17	107
14	18	105
15	19	104
16	21	103
17	22	102
18	23	101
19	24	99
20	26	98
21	27	97
22	28	96
23	29	94
24	31	93
25	32	92
26	33	90
27	34	89
28	36	88
29	37	87
30	38	86
31	40	85
32	41	83
33	42	82
34	43	81
35	45	80
36	46	78
37	47	77
38	48	76
39	50	75
40	51	74
41	52	73
42	54	71
43	55	70
44	56	68
45	57	67
46	58	66
47	60	65
48	61	63
49	62	62
50	64	61
51	65	60
52	67	59
53	68	58
54	69	57
55	71	56
56	72	54
57	74	53
58	75	52
59	76	51
60	78	50
61	80	49
62	81	47
63	83	46
64	84	45
65	85	44
66	87	43
67	88	41
68	90	40
69	91	39
70	92	37
71	94	36
72	95	35
73	97	34
74	98	32
75	99	31
76	101	30
77	102	28
78	103	27
79	104	26
80	106	24
81	107	23
82	109	22
83	110	21
84	112	19
85	113	18
86	114	17
87	116	15
88	117	14
89	119	13
90	120	11
91	122	10
92	124	9
93	126	8
94	127	6
95	129	5
96	130	4
97	132	2
98	134	1
99	135	0
