iter	Passed	Remaining
0	158	158053
1	159	79405
2	159	53128
3	160	39981
4	161	32157
5	162	26904
6	163	23141
7	163	20323
8	164	18124
9	165	16366
10	165	14924
11	166	13723
12	167	12704
13	168	11843
14	168	11088
15	169	10428
16	170	9845
17	170	9326
18	171	8862
19	172	8443
20	173	8067
21	173	7722
22	174	7417
23	175	7133
24	176	6871
25	176	6628
26	177	6401
27	178	6191
28	179	5994
29	179	5812
30	180	5641
31	181	5480
32	181	5330
33	182	5187
34	183	5053
35	183	4926
36	184	4807
37	185	4694
38	186	4586
39	186	4483
40	187	4386
41	188	4296
42	189	4210
43	190	4128
44	190	4048
45	191	3971
46	192	3897
47	192	3826
48	193	3761
49	194	3696
50	195	3632
51	195	3572
52	196	3513
53	197	3457
54	198	3404
55	198	3352
56	199	3303
57	200	3254
58	201	3208
59	202	3164
60	202	3122
61	203	3080
62	204	3040
63	205	3000
64	206	2963
65	206	2927
66	207	2893
67	208	2858
68	209	2825
69	210	2792
70	210	2760
71	211	2728
72	212	2697
73	213	2667
74	213	2637
75	214	2609
76	215	2580
77	216	2556
78	217	2530
79	217	2505
80	218	2480
81	219	2455
82	219	2428
83	220	2404
84	221	2382
85	222	2360
86	222	2338
87	223	2318
88	224	2297
89	225	2276
90	226	2257
91	226	2238
92	227	2220
93	228	2203
94	229	2186
95	230	2169
96	231	2150
97	231	2133
98	232	2116
99	233	2099
100	234	2083
101	234	2066
102	235	2050
103	236	2035
104	236	2019
105	237	2004
106	238	1989
107	239	1975
108	239	1961
109	240	1947
110	241	1933
111	242	1920
112	243	1907
113	243	1894
114	244	1882
115	245	1869
116	245	1855
117	246	1843
118	247	1830
119	248	1819
120	248	1808
121	249	1795
122	250	1784
123	250	1773
124	251	1762
125	252	1751
126	253	1739
127	253	1729
128	254	1718
129	255	1708
130	256	1698
131	256	1688
132	257	1679
133	258	1670
134	259	1660
135	259	1651
136	260	1641
137	261	1632
138	262	1623
139	262	1614
140	263	1606
141	264	1596
142	265	1588
143	265	1580
144	266	1571
145	267	1563
146	268	1555
147	268	1547
148	269	1539
